Podstawy kompozycji i instrumentacji;2L;mgr Olgierd Juzala-Deprati (doktorant);2;zal;zst;1;1;2;2;4;I (Mt);Mt;wtorek, 16:00-16:45, sala 201 F, godziny dotyczace grupy I. Grupa II - 16:50-17:35;Dla studentow, ktorzy nie ukonczyli szkoly muzycznej II stopnia
Podstawy ksztalcenia sluchu;1L;mgr Joanna Kolodziejska;2;zal;zst;1;1;1;1;2;I (Mt);Mt;poniedzialek, grupa I 10:15-11:00, grupa II 11:15-12:00, sala 201 F;Dla studentow, ktorzy nie ukonczyli szkoly muzycznej II stopnia
Profilaktyczne zastosowanie muzykoterapii;1M;mgr Angelika Wojciechowska;10;zal;zst;1;1;1;1;2;I (Mt);Mt;poniedzialek, 10:20-11:05, s. 305 F;
Psychiatria;2L;dr Mateusz Luc;12;zst;egz;2;2;2;2;4;I (Mt);Mt;sroda, 14:15-17:15, sala 201 F;zajecia beda odbywac sie w pazdzierniku i listopadzie
Psychologia kliniczna;2L;mgr Aleksandra Mroczko;2;zst;egz;2;2;2;2;4;I (Mt);Mt;wtorek, 11:45-15:00, co 2 tygodnie, ul. Bartla 7a/2;
Psychologia ogolna;1L;dr Amelia Golema;4;zal;zst;2;2;2;2;4;I (Mt);Mt;czwartek, 8:00-9:30, sala 002B;
Psychoterapia;2L;dr Barbara Kobusinska;12;zal;zst;2;2;2;2;4;I (Mt);Mt;czwartek, 10:45-12:15, sala 201 F;
F;2M;dr Amelia Golema;8;zst;egz;1;1;1;1;2;I (Mt);Mt;wtorek, 12.05-13.35, sala 217 A;wyk?ad
Wprowadzenie do historii muzyki;1L;Joanna Kolodziejska;2;zst;zst;2;2;2;2;4;I (Mt);Mt;poniedzialek, 12:10-13:40, sala 201 F;Dla studentow, ktorzy nie ukonczyli szkoly muzycznej II stopnia
Zespol kameralny w muzykoterapii;1M;dr Michal Zinkowski;2;zal;zst;1;1;1;1;2;I (Mt);Mt;poniedzialek, 17:05-18:35, co 2 tygodnie, sala 305 F;
Badania naukowe muzycznej praktyki wykonawczej;1-3L;dr Maria Brzuchowska;20;zal;zal;1;1;2;2;4;II;Inst;piatek, 15:05-16:00, sala 217A, 13:15-14:10 (sem. letni);
Trening tworczego myslenia;1-3L;dr Amelia Golema;15;zst;zst;2;2;2;2;4;II;Inst;wtorek, 10:15-11:45, sala 203F;
MP3 Muzyczne pogotowie trema, kryzys tozsamosc;L/M;dr Amelia Golema, mgr Malgorzata Kramarz;16;zst;zst;2;2;2;2;4;II;Inst;sroda, grupa I: 10:30-12:00, grupa II: 12:00-13:30, sala 217A;
Etyka;L/M;mgr Wojciech Bartnicki;30;zal;zst;2;2;2;3;5;II;Inst;sroda, 12:15-13:45, sala 001E;
Historia filozofii;1-3L;mgr Wojciech Bartnicki;30;zal;zst;2;2;2;2;4;II;Inst;sroda, 14:00-15:30, sala 001E;
Orkiestra symfoniczna;L/M;dr hab. Bassem Akiki;50;zst;zst;3;3;2;2;4;II;Inst;;wedlug planu projektu orkiestrowego. Punkty ECTS za jeden projekt. W wyjatkowych przypadkach i po konsultacji z Dziekanem - przedmiot mozliwy do wyboru rowniez dla studentow Wydzialu II
Proby sekcyjne (tylko dla osob grajacych w Orkiestrze Symfonicznej);L/M;w zaleznosci od sekcji;50;zst;zst;0,5;0,5;0,5;0,5;1;II;Inst;;za jeden projekt
Orkiestra kameralna;L/M;dr Zbigniew Szuflad;10;zst;zst;3;3;2;2;4;II;Inst;wtorek i czwartek, 18:00-21:00, sala; Punkty ECTS za jeden projekt. W wyjatkowych przypadkach i po konsultacji z Dziekanem - przedmiot mozliwy do wyboru rowniez dla studentow Wydzialu II
Orkiestra deta;L/M;dr Piotr Bugaj;40;zst;zst;3;3;2;2;4;II;Inst;sroda, 15:00-19:30, sala 102 E; Punkty ECTS za jeden projekt. W wyjatkowych przypadkach i po konsultacji z Dziekanem - przedmiot mozliwy do wyboru rowniez dla studentow Wydzialu II
Orkiestra barokowa;L/M;do uzgodnienia z Dziekanem Wydzialu II;20;zst;zst;3;3;3;3;6;II;Inst;do uzgodnienia; za jeden projekt
Big-band;L/M;dr Bartosz Pernal;8;zst;zst;3;3;2;2;4;II;Inst;sroda, 12:30-14:45, sala -001D;
Zespol kameralny (duet);L/M;Pedagodzy Wydzialu Instrumentalnego;02.maj;ekm;ekm;1;1;2;2;4;II;Inst;do uzgodnienia z pedagogiem; W wyjatkowych sytuacjach, za zgoda Dziekana
Zespol kameralny (trio, kwartet, kwintet);L/M;Pedagodzy Wydzialu Instrumentalnego;02.maj;ekm;ekm;2;2;4;4;8;II;Inst;do uzgodnienia z pedagogiem; W wyjatkowych sytuacjach, za zgoda Dziekana
Chor im. S. Krukowskiego;L/M;mgr Magdalena Wojtas;60;zst;zst;3;3;3;3;6;II;Inst;sroda, 15:15-17:30, sala 001B;
Analiza materialow zrodlowych;2L;dr Grzegorz Joachimiak;10;zst;egz;2;2;2;2;4;II;Inst;wtorek, 10:00-11:30, sala 217A;
Problemy wykonawcze muzyki dawnej;1M;dr Grzegorz Joachimiak;20;zal;zal;1;1;1;1;2;II;Inst;wtorek, 9:00-9:45, sala 217A;
Budowa i strojenie instrumentow;1-3L;mgr Kazimierz Pyzik;10;zal;zal;1;1;1;1;2;II;Inst;do uzgodnienia z pedagogiem;
Jezyk niemiecki (B1/B2);L/M;mgr Katarzyna Sroka;7;zst;egz;2;2;2;2;4;II;Inst;grupa do uzgodnienia z prowadzacym zajecia w zaleznosci od poziomu jezyka; zapisy odbeda sie 2.10.2023r. w godz. 12:15-14:30 w sali 114A
Jezyk wloski (B1/B2);L/M;mgr Anna Karas;4;zst;egz;2;2;2;2;4;II;Inst;sroda, godz. 8:55-10:25, sala 204F; oferta skierowana do studentow wykazujacych sie znajomoscia jezyka na poziomie B2, zapisy odbeda sie dnia 4.10.2023r. w godz. 13:45-14:15 w sali 204F
Produkcja muzyczna;L/M;dr Przemyslaw Jarosz;4;zal;zst;1;1;1;1;2;II;Inst;do uzgodnienia z pedagogiem;
Praca nad plastyka ciala;1/2L;mgr Elzbieta Lejman-Krzysztyniak;2;zst;zst;2;2;1;1;2;III;;wtorek 12:30-14:00 1L/14:15-15:45 2L;
Pantomima;1L;mgr Agnieszka Kulinska;4;zst;egz;2;2;1;1;2;III;;czwartek 14:30-16:00 gr. I/16:00-17:30 gr.II, sala 204E;
Etiudy sceniczna;1L;mgr Aleksandra Dytko-Masztalska;4;zst;zst;2;2;1;1;2;III;;wtorek 15:00-16:30 gr.I/16:30-18:00 gr. II, sala 301A;
Etiudy sceniczna;2L;mgr Aleksandra Dytko-Masztalska;4;zst;egz;2;2;1;1;2;III;;sroda 13:45-15:15 gr.I/15:15-16:45 gr.II, sala 301A;
Specjalistyczna literatura piesniarska i oratoryjno-kantatowa;2L;mgr Karolina Golebiewska;2;zst;egz;2;2;2;2;4;III;;wtorek 9:00-10:30, sala 002E;
Specjalistyczna literatura piesniarska i oratoryjno-kantatowa;3L;mgr Karolina Golebiewska;2;zst;egz;2;2;2;2;4;III;;poniedzialek 13:15-14:45, sala 002E;
Zarys stylistyki muzyki dawnej;3L;dr hab. Olga Ksenicz;4;zst;egz;1;1;1;1;2;III;;wtorek 14:00-14:45, sala 002E;
Ilustracja muzyczna - praca w klasie akompaniamentu;1M;koordynator przedmiotu - kierownik katedry kameralistyki prof. dr hab. Magdalena Blum oraz wg ustalen z pedagogiem prowadzacym przedmiot Nauka akompaniamentu;;zal;zal;0,5;0,5;1;1;2;III;;
Specjalistyczna literatura operowa;1M;dr hab. Adam Banaszak;4;zst;egz;2;2;2;2;4;III;;poniedzialek 9:00-10:30, sala 001E;
Sceny aktorskie;1M;mgr Aleksandra Dytko;2;zst;egz;2;2;1;1;2;III;;wtorek 11:45-13:15 gr.I/13:20-14:50 gr.II, sala 301A;
Lacina;1M;dr Boguslawa Frontczak;6;zst;zst;1;1;1;1;2;III;;on-line czwartek 8:15-9:00;
Retoryka i zdobnictwo;1M;dr Anna Werecka-Grys;5;x;zst;x;2;x;2;2;III;;wtorek 9:00-10:30 on-line, sem. lato;
Retoryka i zdobnictwo;2M;dr Anna Werecka-Grys;5;zst;x;2;x;2;x;2;III;;wtorek 9:00-10:30 on-line, sem. zima;
Zespoly wokalno-instrumentalne;1-2M;prof. dr hab. Andrzej Kosendiak/mgr Adrianna Golos;;zst;zst;3;3;4;4;8;III;;poniedzialek 12:00-14:15, sala 203F; wymagana akceptacja Kierownika Katedry Wokalistyki i pedagoga prowadzacego przedmiot
Choral gregorianski;1M;prof. dr hab. Marta Kierska-Witczak;4;zst;egz;1;1;1;1;2;III;;
Temperacje historyczne;2M;dr hab. Tomasz Gluchowski;4;zst;x;2;x;1;x;1;III;;sroda 10:00-11:30, sala 103/104A;
Analiza dziela muzycznego 1 (grupa 1);1L;dr Agnieszka Zwierzycka;4;zst;zst;2;2;2;2;4;IV;;czwartek, 13:05-14:35, sala 217A;
Analiza dziela muzycznego 1 (grupa 2);1L;dr Agnieszka Zwierzycka;4;zst;zst;2;2;2;2;4;IV;;czwartek, 14:45-16:15, sala 217A;
Analiza dziela muzycznego 2;2L;dr Agnieszka Zwierzycka;8;zst;zst;2;2;2;2;4;IV;;wtorek, 8.00-9.30, sala 001F;
Choral gregorianski;2L;ks. dr hab. Mariusz Bialy;2;zst;egz;1;1;1;1;2;IV;;poniedzialek, 9.45-11.15, co 2 tyg., sala 114A;
Chor Feichtinum;wszystkie lata;dr hab. Artur Wrobel, prof. AMKL/ mgr Magdalena Wojtas;b. o.;zst;zst;4;4;4;4;8;IV;;wtorek, 10.30-12.00, sala 001B, sroda, 10.30-12.00, sala 001B;
Chor Kameralny;wszystkie lata;prof. dr hab. Jolanta Szybalska-Matczak/wykl. Kacper Kubiak;b. o.;zst;zst;4;4;4;4;8;IV;;poniedzialek, 18.00-19.30, sala 001B, sroda, 18.00-19.30, sala 001B;
Diagnoza potrzeb w srodowiskach lokalnych;1L;dr R. Lazarz;6;-;zst;-;1;-;2;2;IV;;piatek, 11.40-13.10, co 2 tygodnie, sala 001F;
Folklor;3L;dr Agnieszka Zwierzycka;3;zal;zst;1;1;1;1;2;IV;;wtorek, 9.35-10.20, sala 001F;
Komunikacja wizerunkowa i strategie komunikacyjne w mediach;1M;mgr Maciej Wojciechowski;6;-;zst;-;2;-;3;3;IV;;czwartek, 16.15-17.45, sala 101B;
Kontrapunkt;3L;dr Tomasz Kulikowski;2;zst;zst;1;1;1;1;2;IV;;wtorek, 14.00-14.45, sala 101B;
Ksztalcenie sluchu 1 (grupa 1);1L;wykl. Michal Kanafa;2;zst;zstk;2;2;2;2;4;IV;;poniedzialek, 12.00-13.30, sala 001B;
Ksztalcenie sluchu 1 (grupa 2);1L;dr hab. Ewa Grygar, prof. AMKL;2;zst;zstk;2;2;2;2;4;IV;;sroda, 8.45-10.15, sala 114A;
Ksztalcenie sluchu 2 (grupa 1);2L;wykl. Michal Kanafa;2;zst;zstk;2;2;2;2;4;IV;;poniedzialek, 13.45-15.15, sala 001B;
Ksztalcenie sluchu 2 (grupa 2);2L;dr hab. Ewa Grygar, prof. AMKL;2;zst;zstk;2;2;2;2;4;IV;;wtorek, 12.15-13.45, sala 114A;
